,Unnamed: 0,formation,gk rating,defence rating,midfield rating,attack rating,net stamina,net physicallity,away formation,away gk rating,away defence rating,away midfield rating,away attack rating,away net stamina,away net physicallity,home goals,away goals,home_result_list
1081,1081,3-4-1-2,229,741,296,82,2158,2255,4-5-1,227,700,171,206,2065,2233,3,0,W
1082,1082,4-2-3-1,245,562,0,87,2278,2314,4-4-2,216,410,379,225,2086,2106,5,2,W
1083,1083,4-2-3-1,203,411,128,280,2005,2034,4-2-2-2,213,423,503,224,2212,2206,0,1,L
1084,1084,3-5-2,221,423,0,292,2188,2264,3-4-3,238,515,61,300,2190,2204,0,2,L
1085,1085,4-4-2,371,727,136,419,2071,2255,3-5-2,193,336,284,314,2025,1969,1,1,D
1086,1086,4-3-3,243,624,321,367,2294,2258,4-4-1-1,272,282,195,271,1913,2062,2,0,W
1087,1087,4-2-3-1,286,593,70,287,2097,2105,4-2-3-1,217,497,123,156,2101,2195,2,2,D
1088,1088,4-4-2,287,437,134,366,2038,2187,4-3-3,219,606,147,172,2290,2191,1,0,W
1089,1089,4-3-3,236,538,84,242,2261,2279,4-4-2,217,462,150,155,2193,2254,1,0,W
1090,1090,3-4-3,238,515,61,300,2190,2204,3-4-3,229,741,296,82,2158,2255,1,1,D
1091,1091,4-5-1,227,700,171,206,2065,2233,4-3-3,231,552,325,239,2270,2261,2,3,L
1092,1092,4-2-3-1,221,577,71,296,2089,2369,4-2-3-1,203,411,128,280,2005,2034,2,1,W
1093,1093,4-4-2,213,423,503,224,2212,2206,4-3-3,243,624,321,367,2294,2258,1,3,L
1094,1094,4-3-3,219,606,147,172,2290,2191,4-5-1,286,593,70,287,2097,2105,5,0,W
1095,1095,3-5-2,193,336,284,314,2025,1969,3-4-3,221,423,0,292,2188,2264,1,0,W
1096,1096,4-2-3-1,217,497,123,156,2101,2195,4-4-2,371,727,136,419,2071,2255,0,1,L
1097,1097,4-4-1-1,272,282,195,271,1913,2062,4-2-3-1,245,562,0,87,2278,2314,0,3,L
1098,1098,4-4-2,216,410,379,225,2086,2106,4-3-3,236,538,84,242,2261,2279,0,0,D
1099,1099,4-4-2,217,462,150,155,2193,2254,4-4-2,287,437,134,366,2038,2187,1,1,D
1100,1100,4-4-2,213,423,503,224,2212,2206,4-3-3,219,606,147,172,2290,2191,0,5,L
1101,1101,4-3-3,243,624,321,367,2294,2258,4-4-2,371,727,136,419,2071,2255,1,1,D
1102,1102,4-2-3-1,203,411,128,280,2005,2034,4-2-3-1,217,497,123,156,2101,2195,0,4,L
1103,1103,3-5-2,193,336,284,314,2025,1969,4-3-3,231,552,325,239,2270,2261,3,0,W
1104,1104,4-2-3-1,221,577,71,296,2089,2369,4-4-1-1,286,593,70,287,2097,2105,2,1,W
1105,1105,4-3-3,272,282,195,271,1913,2062,4-1-4-1,227,700,171,206,2065,2233,2,0,W
1106,1106,4-4-2,216,410,379,225,2086,2106,3-4-1-2,229,741,296,82,2158,2255,4,1,W
1107,1107,4-4-1-1,236,538,84,242,2261,2279,3-4-3,238,515,61,300,2190,2204,2,1,W
1108,1108,3-4-3,221,423,0,292,2188,2264,3-5-2,217,462,150,155,2193,2254,3,0,W
1109,1109,4-2-3-1,245,562,0,87,2278,2314,4-4-2,287,437,134,366,2038,2187,2,2,D
1110,1110,4-3-3,231,552,325,239,2270,2261,4-1-4-1,203,411,128,280,2005,2034,1,0,W
1111,1111,3-4-3,238,515,61,300,2190,2204,4-3-3,243,624,321,367,2294,2258,2,1,W
1112,1112,4-4-2,371,727,136,419,2071,2255,3-4-3,221,423,0,292,2188,2264,1,1,D
1113,1113,4-2-3-1,219,606,147,172,2290,2191,3-4-3,216,410,379,225,2086,2106,2,1,W
1114,1114,3-4-3,286,593,70,287,2097,2105,4-2-3-1,236,538,84,242,2261,2279,1,3,L
1115,1115,4-4-2,227,700,171,206,2065,2233,4-2-3-1,245,562,0,87,2278,2314,0,2,L
1116,1116,4-4-2,217,462,150,155,2193,2254,4-3-3,272,282,195,271,1913,2062,1,1,D
1117,1117,3-4-3,229,741,296,82,2158,2255,3-5-2,193,336,284,314,2025,1969,2,0,W
1118,1118,4-4-2,287,437,134,366,2038,2187,3-5-2,213,423,503,224,2212,2206,1,1,D
1119,1119,4-2-3-1,217,497,123,156,2101,2195,4-2-3-1,221,577,71,296,2089,2369,3,1,W
1120,1120,4-2-3-1,203,411,128,280,2005,2034,4-4-2,371,727,136,419,2071,2255,0,2,L
1121,1121,4-4-2,216,410,379,225,2086,2106,4-4-2,287,437,134,366,2038,2187,0,2,L
1122,1122,4-3-3,236,538,84,242,2261,2279,3-4-3,229,741,296,82,2158,2255,3,0,W
1123,1123,4-2-3-1,213,423,503,224,2212,2206,3-5-2,286,593,70,287,2097,2105,0,0,D
1124,1124,3-5-2,193,336,284,314,2025,1969,4-4-2,217,462,150,155,2193,2254,0,1,L
1125,1125,3-4-3,221,423,0,292,2188,2264,4-4-2,227,700,171,206,2065,2233,2,0,W
1126,1126,4-3-3,272,282,195,271,1913,2062,3-4-3,238,515,61,300,2190,2204,1,0,W
1127,1127,4-3-3,221,577,71,296,2089,2369,4-3-3,219,606,147,172,2290,2191,0,4,L
1128,1128,4-3-3,243,624,321,367,2294,2258,3-4-3,231,552,325,239,2270,2261,5,3,W
1129,1129,4-2-3-1,245,562,0,87,2278,2314,4-2-3-1,217,497,123,156,2101,2195,1,1,D
1130,1130,4-2-3-1,238,515,61,300,2190,2204,4-2-2-2,221,577,71,296,2089,2369,3,2,W
1131,1131,4-4-2,371,727,136,419,2071,2255,3-4-1-2,213,423,503,224,2212,2206,1,2,L
1132,1132,3-4-3,231,552,325,239,2270,2261,3-4-3,221,423,0,292,2188,2264,2,0,W
1133,1133,4-4-2,227,700,171,206,2065,2233,4-2-3-1,236,538,84,242,2261,2279,1,1,D
1134,1134,4-2-3-1,217,462,150,155,2193,2254,4-4-2,216,410,379,225,2086,2106,1,3,L
1135,1135,3-5-2,229,741,296,82,2158,2255,4-2-3-1,245,562,0,87,2278,2314,0,2,L
1136,1136,4-3-3,219,606,147,172,2290,2191,4-2-3-1,203,411,128,280,2005,2034,5,0,W
1137,1137,3-5-2,286,593,70,287,2097,2105,4-3-3,243,624,321,367,2294,2258,1,3,L
1138,1138,4-4-2,287,437,134,366,2038,2187,3-5-2,193,336,284,314,2025,1969,3,1,W
1139,1139,4-2-3-1,217,497,123,156,2101,2195,4-1-4-1,272,282,195,271,1913,2062,1,1,D
